milis,ecg
1436875461512,1023
1436875461516,498
1436875461520,498
1436875461524,498
1436875461528,1022
1436875461532,498
1436875461536,498
1436875461540,498
1436875461544,1022
1436875461548,498
1436875461552,499
1436875461556,499
1436875461560,1023
1436875461564,499
1436875461568,499
1436875461572,499
1436875461576,1023
1436875461580,499
1436875461584,500
1436875461588,500
1436875461592,500
1436875461596,500
1436875461600,501
1436875461604,501
1436875461608,501
1436875461612,501
1436875461616,501
1436875461620,502
1436875461624,1022
1436875461628,503
1436875461632,503
1436875461636,503
1436875461640,504
1436875461644,505
1436875461648,505
1436875461652,505
1436875461656,505
1436875461660,505
1436875461664,505
1436875461668,505
1436875461672,1022
1436875461676,506
1436875461680,506
1436875461684,506
1436875461688,505
1436875461692,505
1436875461696,504
1436875461700,504
1436875461704,503
1436875461708,502
1436875461712,501
1436875461716,501
1436875461720,500
1436875461724,500
1436875461728,499
1436875461732,1023
1436875461736,499
1436875461740,499
1436875461744,498
1436875461748,1022
1436875461752,498
1436875461756,498
1436875461760,498
1436875461764,1023
1436875461768,499
1436875461772,499
1436875461776,499
1436875461780,1023
1436875461784,499
1436875461788,499
1436875461792,500
1436875461796,500
1436875461800,500
1436875461804,500
1436875461808,500
1436875461812,500
1436875461816,500
1436875461820,500
1436875461824,500
1436875461828,500
1436875461832,500
1436875461836,500
1436875461840,500
1436875461844,501
1436875461848,501
1436875461852,500
1436875461856,500
1436875461860,500
1436875461864,500
1436875461868,501
1436875461872,501
1436875461876,501
1436875461880,501
1436875461884,501
1436875461888,500
1436875461892,500
1436875461896,500
1436875461900,500
1436875461904,501
1436875461908,501
1436875461912,501
1436875461916,501
1436875461920,501
1436875461924,501
1436875461928,501
1436875461932,500
1436875461936,500
1436875461940,500
1436875461944,500
1436875461948,501
1436875461952,501
1436875461956,501
1436875461960,501
1436875461964,501
1436875461968,501
1436875461972,501
1436875461976,501
1436875461980,501
1436875461984,501
1436875461988,501
1436875461992,501
1436875461996,501
1436875462000,501
1436875462004,501
1436875462008,502
1436875462012,502
1436875462016,1022
1436875462020,501
1436875462024,501
1436875462028,501
1436875462032,501
1436875462036,500
